page	stripe	column	line	left	top	right	bottom	confidence	letters	punc
0		1	870	33	957	114	99	أعـم	 
0		1	792	33	870	114	99	من	 
0		1	651	33	792	114	98	مقدمة	 
0		1	500	33	651	114	99	العلم	 
0		1	368	33	500	114	99	بينهما	 
0		1	251	33	368	114	100	عموم	 
0		1	53	33	251	114	91	وخصوص	
0		2	831	127	957	196	92	مطلق	.
0		3	711	207	848	302	93	والفرق	 
0		3	640	207	711	302	99	بين	 
0		3	492	207	641	302	95	المقدمة	 
0		3	270	207	493	302	93	والمبادىء	 
0		3	218	207	271	302	90	أن	 
0		3	67	207	219	302	93	المقدمة	
