band	seq	mark	kept	value	connectdegree	connectborder	top	bottom	left	right
high	1	a	False	0.8153657	0.0	4	1	r	1416	1545	1440	1561
high	1	a	False	0.8171979	0.0	4	1	r	1994	1928	2018	1944
high	1	a	False	0.8207345	0.0	4	1	l	189	1660	213	1676
high	1	a	False	0.8244888	0.0	4	1	r	1728	2131	1752	2147
mid	20	comma2	False	0.91695213	0.0	4	1	r	2091	1659	2109	1686
mid	20	comma2	False	0.9179853	0.0	4	1	r	1989	1277	2007	1304
mid	20	comma2	False	0.91834885	0.0	4	1	l	396	2051	414	2078
mid	20	comma2	False	0.9197338	0.0	4	1	r	1731	1950	1749	1977
mid	20	comma2	False	0.9587653	0.0	4	1	l	767	2053	785	2080
mid	20	comma2	False	0.95965505	0.0	4	1	l	982	1576	1000	1603
mid	20	comma2	False	0.9600607	0.0	4	1	r	1790	1099	1808	1126
mid	20	comma2	False	0.9603621	0.0	4	1	l	409	1873	427	1900
mid	20	comma2	False	0.9604853	0.0	4	1	l	194	2497	212	2524
mid	20	comma2	False	0.9607048	0.0	4	1	l	439	2321	457	2348
mid	20	comma2	False	0.960856	0.0	4	1	r	1361	2244	1379	2271
mid	20	comma2	False	0.96090835	0.0	4	1	l	570	2052	588	2079
mid	20	comma2	False	0.9611823	0.0	4	1	l	496	1005	514	1032
mid	20	comma2	False	0.96139497	0.0	4	1	r	1244	1098	1262	1125
mid	20	comma2	False	0.9619336	0.0	4	1	l	626	1397	644	1424
mid	20	comma2	False	0.96288157	0.0	4	1	l	962	1398	980	1425
mid	20	comma2	False	0.96505386	0.0	4	1	r	1635	1276	1653	1303
mid	20	comma2	False	0.9964245	0.0	4	1	l	192	2884	210	2911
mid	20	comma2	False	0.99667275	0.0	4	1	l	193	2707	211	2734
mid	20	comma2	False	0.9966743	0.0	4	1	l	585	2499	603	2526
mid	20	comma2	False	0.9971289	0.0	4	1	l	742	2231	760	2258
mid	20	comma2	False	0.9989087	0.0	4	1	l	891	2590	909	2617
